CustomerID,TotalPurchase,PurchaseFrequency,Quantity,InvoiceYear,InvoiceMonth,InvoiceDay,InvoiceDayOfWeek,InvoiceDayOfYear,Cluster,PC1,PC2
12346.0,0.0,2,0,2011,1,18,1,18,0,-2.0687695070721888,0.7801597973000027
12347.0,4310.0,182,2458,2010,12,7,1,341,3,2.5225330165932696,-0.7498551170967525
12348.0,1797.24,31,2341,2010,12,16,3,350,3,2.060986175870822,-1.1517245873614637
12349.0,1757.55,73,631,2011,11,21,0,325,1,0.47935401884247364,-0.5891526212841248
12350.0,334.4,17,197,2011,2,2,2,33,0,-1.4074623717562587,0.5590755460992464
12352.0,1545.41,95,470,2011,2,16,2,47,0,-1.576782131735128,0.8807341832724979
12353.0,89.0,4,20,2011,5,19,3,139,0,-1.1017666052407702,0.08048212684132124
12354.0,1079.4,58,530,2011,4,21,3,111,0,-1.2583148996105311,0.4732363305655373
12355.0,459.4,13,240,2011,5,9,0,129,0,-0.8566101568534956,0.14053999535021827
12356.0,2811.43,59,1591,2011,1,18,1,18,0,-1.7939928592173124,1.242223584165331
12357.0,6207.67,131,2708,2011,11,6,6,310,1,1.2355910731894202,-0.16678694622590204
12358.0,1168.06,19,248,2011,7,12,1,193,1,-0.3958132929300569,-0.14518833921282684
12359.0,6245.53,254,1612,2011,1,12,2,12,0,-1.301808691116606,1.7248885574553272
12360.0,2662.06,129,1165,2011,5,23,0,143,0,-0.9030501413563642,0.6641718073699091
12361.0,189.9,10,91,2011,2,25,4,56,0,-1.9386509710171225,0.6293643785188886
12362.0,5154.58,274,2212,2011,2,17,3,48,0,-1.1416237713684145,1.5937480698324547
12363.0,552.0,23,408,2011,4,11,0,101,0,-1.1186308032889578,0.3642350309118381
12364.0,1313.1,85,1506,2011,8,19,4,231,1,-0.1253600341535164,-0.07057904331248606
12365.0,320.69,23,173,2011,2,21,0,52,0,-1.8515851297398804,0.7197112887437989
12367.0,168.9,11,173,2011,12,5,0,339,1,0.9278116698516969,-1.1140901343030372
12370.0,3545.69,167,2353,2010,12,14,1,348,3,2.3101723543311934,-0.7933808492804751
12371.0,1887.96,63,591,2011,10,11,1,284,1,0.46015055823301404,-0.5089409234450171
12372.0,1298.04,52,794,2011,2,16,2,47,0,-1.612501048425801,0.8340645469431699
12373.0,364.6,14,197,2011,2,1,1,32,0,-1.3941125554176008,0.5691896217652688
12374.0,742.9300000000001,33,342,2011,11,14,0,318,1,0.5373967905700752,-0.7964173707868557
12375.0,455.42,18,177,2011,9,2,4,245,1,0.3140941184232331,-0.6659236592062797
12377.0,1628.12,77,944,2010,12,20,0,354,3,1.8999423455634745,-1.1715561903503215
12378.0,4008.62,219,2529,2011,8,2,1,214,1,0.5597089542615219,0.3921380377735443
12379.0,850.29,41,406,2011,6,22,2,173,1,-0.8360568750839235,0.09940802386989223
12380.0,2720.56,105,1126,2011,6,7,1,158,0,-0.3112228357774258,0.3354299983809489
12381.0,1803.96,91,783,2011,8,12,4,224,1,0.011768542871100305,-0.15615873351563261
12383.0,1839.31,100,1529,2010,12,22,2,356,3,1.9411995391622172,-1.0785138501660714
12384.0,566.16,30,121,2011,8,10,2,222,1,-0.11554430909461527,-0.38628399017043336
12386.0,401.9,10,354,2010,12,8,2,342,3,2.0288063340519407,-1.5395756947542347
12388.0,2780.66,100,1462,2011,1,17,0,17,0,-1.7424734171330953,1.3030131061131618
12390.0,549.84,32,353,2011,9,21,2,264,1,-0.10378323042433166,-0.46208362614267967
12391.0,460.89,100,300,2011,11,18,4,322,1,0.5364211574262825,-0.7652098064349735
12393.0,1582.6000000000001,64,816,2011,1,11,1,11,0,-1.7261095256735175,1.0353745210440966
12394.0,1272.48,27,819,2011,5,6,4,126,0,-0.6743139082702824,0.1895909352182529
12395.0,2998.28,159,2113,2010,12,3,4,337,3,2.537957514694541,-0.9949614264520854
12397.0,2409.9,126,1263,2011,7,27,2,208,1,-0.4980054678047239,0.2983382028640518
12398.0,1635.6599999999999,85,1394,2011,10,25,1,298,1,0.2085579357605492,-0.310821014527824
12399.0,1108.65,59,1178,2011,3,23,2,82,0,-1.5121965634748544,0.7564211284818276
12401.0,84.3,5,11,2011,2,9,2,40,0,-1.602512649421739,0.5448108703424388
12402.0,225.6,11,94,2011,1,20,3,20,0,-2.0751347960934488,0.7945687870756694
12403.0,409.7,6,95,2011,10,21,4,294,1,0.10154224956697076,-0.7505651710934689
12405.0,1710.39,54,857,2011,7,14,3,195,1,-0.3271402653715545,-0.00843460551427013
12406.0,3280.75,108,1809,2011,6,9,3,160,0,-0.27262010302673767,0.43126328335535724
12407.0,1708.1200000000001,77,1416,2011,3,20,6,79,0,-1.3560965691407176,0.757851733286248
12408.0,2842.57,113,1399,2011,3,24,3,83,0,-1.3877167116142775,0.9695572044321702
12409.0,11056.93,114,5543,2011,6,10,4,161,0,0.25866252918101806,1.3780020898977812
12410.0,681.0799999999999,28,209,2011,2,4,4,35,0,-1.4124843346425422,0.575071846917289
12412.0,1226.88,61,829,2011,6,23,3,174,1,-0.787109901075983,0.19256322154740624
12413.0,694.15,40,282,2011,1,6,3,6,0,-1.692858805224056,0.8074328165054286
12414.0,562.41,18,300,2011,2,2,2,33,0,-1.3909403748544549,0.587761780722773
12415.0,123725.45,778,77242,2011,1,6,3,6,2,8.861523342043148,19.099778934710585
12417.0,3578.8,198,1539,2010,12,17,4,351,3,2.2452939695492873,-0.8757923755839971
12418.0,668.58,34,407,2011,8,19,4,231,1,-0.2793152750372368,-0.32247725730782584
12420.0,600.39,29,345,2011,10,7,4,280,1,0.47079513123985345,-0.7583266275853333
12421.0,806.27,46,483,2011,1,24,0,24,0,-2.101768648860145,1.0155534046310475
12422.0,803.5600000000001,39,370,2011,1,19,2,19,0,-1.9883392242596776,0.9222876630725277
12423.0,1849.11,126,1327,2010,12,21,1,355,3,1.9726918051892222,-1.0473640654559502
12424.0,1760.96,30,740,2011,6,30,3,181,1,-0.9673986274210081,0.21130740757991062
12425.0,777.2,36,496,2011,9,22,3,265,1,-0.09684644486649015,-0.43688456515836555
12426.0,582.73,30,258,2011,5,29,6,149,0,-1.2450496505606732,0.1865428890869839
12427.0,708.37,35,236,2010,12,3,4,337,3,2.1891835760884875,-1.5622520738883319
12428.0,7877.2,300,3503,2011,3,1,1,60,0,-0.3395390878115685,1.7412862220604974
12429.0,3750.4,97,1557,2010,12,9,3,343,3,2.315914127975775,-1.0526770388406128
12430.0,256.4,11,117,2011,10,27,3,300,1,-0.04157532989101161,-0.6942893457229568
12431.0,6416.39,240,2868,2010,12,1,2,335,3,2.837952193850585,-0.5267069018592729
12432.0,5059.32,108,1801,2011,6,20,0,171,0,-0.47946022897508117,0.6725061172723037
12433.0,13375.87,420,11071,2010,12,1,2,335,3,3.844345072073601,1.1771898588413423
12434.0,765.19,54,373,2010,12,14,1,348,3,1.948368988329251,-1.3876735702653928
12435.0,7829.89,36,2055,2011,3,17,3,76,0,-1.0824652156966046,1.210556309086641
12436.0,509.01,16,211,2011,9,1,3,244,1,0.3316929477745906,-0.6487049441087582
12437.0,4896.66,201,2918,2011,1,12,2,12,0,-1.3249637981085391,1.7043581541200332
12438.0,2906.85,98,1180,2011,7,22,4,203,1,-0.38718821689021105,0.2082833171035577
12441.0,173.55,11,121,2010,12,8,2,342,3,2.0058769552132265,-1.5803055962337287
12442.0,172.06,12,182,2011,12,6,1,340,1,0.9140854209380159,-1.1241203464342258
12444.0,5005.46,177,1155,2011,6,21,1,172,0,-0.4630194360482831,0.690000577335276
12445.0,133.4,4,62,2011,11,17,3,321,1,0.4169221209977574,-0.9540285699822058
12446.0,1002.3100000000001,58,352,2011,10,13,3,286,1,0.37430369719889656,-0.6290633797272406
12447.0,476.49,26,190,2011,4,10,6,100,0,-1.0659879098188265,0.21824091045099234
12448.0,449.45,22,243,2011,10,26,2,299,1,0.0018541759828851843,-0.6364890141965023
12449.0,4067.29,191,1553,2011,6,5,6,156,0,-0.0542793487298877,0.5032785927235021
12450.0,197.88,8,128,2011,6,19,6,170,1,-0.8180868462950568,-0.12304830176362445
12451.0,8933.52,355,6455,2011,1,19,2,19,0,-0.9268917439574238,2.6716615060253903
12452.0,428.57,23,183,2011,11,23,2,327,1,0.31283627443946427,-0.8343533088747076
12453.0,707.09,43,473,2011,7,28,3,209,1,-0.7224767129912582,-0.05098558026230008
12454.0,5.684341886080802e-14,30,0,2011,10,14,4,287,1,0.26650621571793554,-0.7936977537551437
12455.0,2466.86,90,2089,2011,2,16,2,47,0,-1.4403080298561084,1.122888832299952
12456.0,3153.89,129,1616,2011,3,30,2,89,0,-1.4881697739683806,1.0967611260757462
12457.0,1917.78,68,695,2011,4,14,3,104,0,-1.0447589150056653,0.5207379573710074
12458.0,947.4,38,506,2011,2,28,0,59,0,-1.9491516166289606,0.8668447723341733
12461.0,826.88,35,287,2011,7,8,4,189,1,-0.2749650634622145,-0.21945109388303874
12462.0,1124.01,72,514,2011,2,9,2,40,0,-1.4554000373639366,0.7785364309332216
12463.0,1303.63,88,757,2011,4,12,1,102,0,-1.0103525605848438,0.5448830984235461
12464.0,1212.05,29,112,2011,2,3,3,34,0,-1.3822768335797295,0.6132750925806462
12465.0,733.89,51,475,2011,6,23,3,174,1,-0.8402736917995101,0.10276463697125164
12468.0,724.0400000000001,40,364,2011,1,27,3,27,0,-2.166107525155889,0.9480682587027399
12471.0,18740.92,531,7965,2010,12,2,3,336,3,3.9482276543698704,1.3317780885774129
12472.0,6229.48,391,4020,2010,12,1,2,335,3,3.075558047157692,-0.16495111327167944
12473.0,2848.23,179,2363,2011,6,1,2,152,0,0.0024505726045082154,0.54988502100973
12474.0,7116.47,457,4764,2010,12,6,0,340,3,3.102972591301927,0.1540442592250217
12475.0,723.38,36,535,2011,10,17,0,290,1,0.2381720408687685,-0.5793367826224465
12476.0,6546.58,264,2337,2010,12,13,0,347,3,2.5456038471354043,-0.4302972591731622
12477.0,13117.01,308,3620,2011,2,1,1,32,0,-0.3598794345463074,2.277936585244095
12478.0,680.99,36,236,2011,12,6,1,340,1,0.963547164073235,-1.0461269625309921
12479.0,477.3,35,351,2011,11,28,0,332,1,0.21035623976011275,-0.7236901103880272
12480.0,3281.63,154,1707,2011,1,7,4,7,0,-1.389569972926982,1.3128210414822084
12481.0,5590.86,218,3290,2010,12,9,3,343,3,2.634889498235749,-0.5366648375719291
12483.0,2327.13,81,1097,2011,1,4,1,4,0,-1.5005908249245647,1.1013343140499747
12484.0,4495.27,350,2185,2011,1,7,4,7,0,-1.0938579925119136,1.75969549422142
12488.0,1298.66,55,529,2011,9,25,6,268,1,-0.10054510865303876,-0.40707720926265006
12489.0,334.93,15,105,2011,1,7,4,7,0,-1.7615182152562991,0.7104920928289988
12490.0,5417.93,245,3064,2011,1,14,4,14,0,-1.2777664515211962,1.7998832367980928
12491.0,460.40000000000003,26,260,2011,11,1,1,305,1,0.8178510862843764,-0.9346948270525569
12492.0,263.21000000000004,20,192,2011,8,26,4,238,1,-0.4843573506174803,-0.35356038712662685
12493.0,416.79,23,206,2011,5,26,3,146,0,-1.2158702947930105,0.19703214447809833
12494.0,1139.3500000000001,84,690,2010,12,9,3,343,3,2.145715626656034,-1.3471106325464297
12497.0,1043.1,14,1236,2011,9,19,0,262,1,-0.015603165375236754,-0.32909508573539187
12498.0,403.70000000000005,23,159,2011,10,13,3,286,1,0.29999433050703617,-0.7466708726517303
12500.0,4206.27,65,2671,2011,1,10,0,10,0,-1.4877162639799881,1.4399545315443534
12501.0,2089.68,160,1722,2011,1,7,4,7,0,-1.4267229734230675,1.245346765685873
12502.0,3723.87,147,820,2011,2,3,3,34,0,-1.1093790794353022,1.049090112815289
12503.0,-1126.0,1,-1,2011,1,6,3,6,0,-1.8235393992626978,0.5922660561335218
12504.0,114.0,15,51,2011,11,9,2,313,1,0.6032110857470083,-0.969300062646752
12505.0,-4.5,1,-1,2011,2,11,4,42,0,-1.6422171723526116,0.5054451765489683
12506.0,73.5,23,23,2011,4,21,3,111,0,-1.3687707566567775,0.2920254896078806
12507.0,1258.06,23,894,2011,2,14,0,45,0,-1.6085678085739914,0.822872724014607
12508.0,398.27,69,272,2011,11,10,3,314,1,0.6731657817243569,-0.8519308652740758
12509.0,176.5,7,55,2011,2,28,0,59,0,-2.0425977938523925,0.7140467724009856
12510.0,982.5699999999999,33,353,2011,1,18,1,18,0,-1.9738620849800153,0.9354879741025087
12512.0,138.03,34,99,2011,10,4,1,277,1,0.4893264595038002,-0.7710613757714276
12513.0,586.79,36,456,2011,8,19,4,231,1,-0.2769133524831282,-0.318982093422788
12514.0,1017.68,51,440,2011,3,17,3,76,0,-1.429100260421512,0.5955722915738176
12515.0,383.7,16,131,2010,12,21,1,355,3,1.7156964348614236,-1.4583960845901431
12516.0,1312.06,26,875,2011,6,12,6,163,0,-0.5466413439378095,0.023378275879292094
12517.0,2464.89,286,1348,2011,6,2,3,153,0,0.024358265336462938,0.5627526242650716
12518.0,2056.89,124,1318,2011,8,21,6,233,1,-0.0975173132522941,-0.007317615488700573
12519.0,340.84,18,183,2011,10,7,4,280,1,0.4380326872351346,-0.8118506918296953
12520.0,2582.51,155,1430,2011,3,11,4,70,0,-1.0443324515283812,0.9236792338566675
12521.0,599.68,38,309,2011,7,20,2,201,1,-0.5674715347407451,-0.1153265017175733
12522.0,192.72,12,194,2011,10,19,2,292,1,0.13774433506451791,-0.7180605268005891
12523.0,1745.57,110,861,2011,1,12,2,12,0,-1.6813037062474336,1.1114742512763442
12524.0,4485.72,144,3699,2011,1,10,0,10,0,-1.321007523181937,1.7038428110844135
12526.0,1316.66,71,632,2011,9,6,1,249,1,0.32244428546318304,-0.3901445310986016
12527.0,348.71000000000004,18,234,2011,1,18,1,18,0,-2.022307474638901,0.8559180124868382
12528.0,1922.28,95,750,2011,1,31,0,31,0,-2.1474304376151427,1.2412181193906682
12530.0,1623.63,68,900,2011,1,7,4,7,0,-1.601269470628778,0.9725897245023476
